Name,Url,Table,SI
Кабриц Сергей Александрович,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/258-kabrits-sergej-aleksandrovich.html,Вычислительных методов механики деформируемого тела,https://www.elibrary.ru/author_items.asp?authorid=114253&pubrole=100&show_refs=1&pubcat=risc
Калинина Елизавета Александровна,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/259-kalinina-elizaveta-aleksandrovna.html,Высшей математики,https://www.elibrary.ru/author_items.asp?authorid=17761&show_refs=1
Камачкин Александр Михайлович,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/260-kamachkin-aleksandr-mikhajlovich.html,Высшей математики,https://www.elibrary.ru/author_items.asp?authorid=730497&show_refs=1
Кареева Юлия Сергеевна,,Кафедра математической теории игр и статистических решений,https://www.elibrary.ru/author_items.asp?authorid=1261018&pubrole=100&show_refs=1&pubcat=risc
Квитко Александр Николаевич,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/264-kvitko-aleksandr-nikolaevich.html,Информационных систем,https://www.elibrary.ru/author_items.asp?authorid=11348&show_refs=1
"Кижаева, Наталья Александровна",,Кафедра математической теории экономических решений,https://www.elibrary.ru/author_items.asp?authorid=1172976&pubrole=100&show_refs=1&pubcat=risc
Киямов Жасур Уткирович,,Компьютерного моделирования и многопроцессорных систем,https://www.elibrary.ru/author_items.asp?authorid=1206939&pubrole=100&show_refs=1&pubcat=risc
Клемешев Владимир Алексеевич,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/266-klemeshev-vladimir-alekseevich.html,Моделирования электромеханических и компьютерных систем,https://www.elibrary.ru/author_items.asp?authorid=140743&show_refs=1
Князькин Ярослав Вячеславович,,Компьютерных технологий и систем,https://www.elibrary.ru/author_items.asp?authorid=1007418&pubrole=100&show_refs=1&pubcat=risc
Ковшов Александр Михайлович,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/268-kovshov-aleksandr-mikhajlovich.html,Моделирования экономических систем,https://www.elibrary.ru/author_items.asp?authorid=9892&show_refs=1
"Козловская, Надежда Владимировна",,Кафедра экономической кибернетики,https://www.elibrary.ru/author_items.asp?authorid=606248&pubrole=100&show_refs=1&pubcat=risc
Козынченко Владимир Александрович,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/269-kozynchenko-vladimir-aleksandrovich.html,Теории систем управления электрофизической аппаратурой,https://www.elibrary.ru/author_items.asp?authorid=122469&show_refs=1
Корников Владимир Васильевич,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/275-kornikov-vladimir-vasilevich.html,Управления медико-биологическими системами,https://www.elibrary.ru/author_items.asp?authorid=7711&show_refs=1
Коровкин Максим Васильевич,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/276-korovkin-maksim-vasilevich.html,Компьютерных технологий и систем,https://www.elibrary.ru/author_items.asp?authorid=225690&show_refs=1
Королев Владимир Степанович,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/277-korolev-vladimir-stepanovich.html,Механики управляемого движения,https://www.elibrary.ru/author_items.asp?authorid=7342&show_refs=1
Корхов Владимир Владиславович,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/279-korkhov-vladimir-vladislavovich.html,Компьютерного моделирования и многопроцессорных систем,https://www.elibrary.ru/author_items.asp?authorid=108869&show_refs=1
Костромин Сергей Александрович,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/280-kostromin-sergej-aleksandrovich.html,Информационных и ядерных технологий,
Костырко Сергей Алексеевич,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/281-kostyrko-sergej-alekseevich.html,Вычислительных методов механики деформируемого тела,https://www.elibrary.ru/author_items.asp?authorid=163014&show_refs=1
Котина Елена Дмитриевна,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/282-kotina-elena-dmitrievna.html,Диагностики функциональных систем,https://www.elibrary.ru/author_items.asp?authorid=15306&pubrole=100&show_refs=1&pubcat=risc
Кочевадов Виталий Алексеевич,,Математической теории экономических решений,https://www.elibrary.ru/author_items.asp?authorid=662849&pubrole=100&show_refs=1&pubcat=risc
Кривовичев Герасим Владимирович,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/283-krivovichev-gerasim-vladimirovich.html,Моделирования электромеханических и компьютерных систем,https://www.elibrary.ru/author_items.asp?authorid=612243&show_refs=1
Кривошеин Александр Владимирович,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/284-krivoshein-aleksandr-vladimirovich.html,Высшей математики,https://www.elibrary.ru/author_items.asp?authorid=669568&show_refs=1
Крылатов Александр Юрьевич,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/285-krylatov-aleksandr-yurevich.html,Математической теории экономических решений,https://www.elibrary.ru/author_items.asp?authorid=699453&show_refs=1
Кудрявцева Галина Васильевна,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/287-kudryavtseva-galina-vasilevna.html,Диагностики функциональных систем,https://www.elibrary.ru/author_items.asp?authorid=85429&pubrole=100&show_refs=1&pubcat=risc
"Кузнецова, Дарья Сергеевна",,Кафедра математической теории экономических решений,https://www.elibrary.ru/author_items.asp?authorid=1270243&pubrole=100&show_refs=1&pubcat=risc
Кузютин Денис Вячеславович,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/288-kuzyutin-denis-vyacheslavovich.html,Математической теории игр и статистических решений,https://www.elibrary.ru/author_items.asp?authorid=11324&show_refs=1
Купцова Светлана Евгеньевна,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/291-kuptsova-svetlana-evgenevna.html,Теории управления,https://www.elibrary.ru/author_items.asp?authorid=708996&pubrole=100&show_refs=1&pubcat=risc
Куранов Дмитрий Юрьевич,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/292-kuranov-dmitrij-yurevich.html,Моделирования электромеханических и компьютерных систем,https://www.elibrary.ru/author_items.asp?authorid=706878&show_refs=1
Курбатова Галина Ибрагимовна,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/293-kurbatova-galina-ibragimovna.html,Моделирования электромеханических и компьютерных систем,https://www.elibrary.ru/author_items.asp?authorid=7982&show_refs=1
Лебедева Елена Александровна,,Кафедра высшей математики,https://www.elibrary.ru/author_items.asp?authorid=239969&pubrole=100&show_refs=1&pubcat=risc
Лежнина Елена Александровна,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/294-lezhnina-elena-aleksandrovna.html,Математической теории экономических решений,https://www.elibrary.ru/author_items.asp?authorid=11322&show_refs=1
"Логин, Григорий Леонидович",,Кафедра математического моделирования энергетических систем,
"Луценко, Михаил Михайлович",,Кафедра математической теории игр и статистических решений,
Мазалов Владимир Викторович,,Моделирования экономических систем,
Маковеева Полина Евгеньевна,,Теории управления,https://www.elibrary.ru/author_items.asp?authorid=1191219&pubrole=100&show_refs=1&pubcat=risc
"Максимов, Алексей Юрьевич",,Кафедра технологии программирования,https://www.elibrary.ru/author_items.asp?authorid=930711&pubrole=100&show_refs=1&pubcat=risc
Малафеев Олег Алексеевич,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/297-malafeev-oleg-alekseevich.html,Моделирования социально-экономических систем,https://www.elibrary.ru/author_items.asp?authorid=142010&pubrole=100&show_refs=1&pubcat=risc
"Малинина, Мария Анатольевна",,Кафедра технологии программирования,
Малькова Юлия Вениаминовна,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/300-malkova-yuliya-veniaminovna.html,Моделирования электромеханических и компьютерных систем,https://www.elibrary.ru/author_items.asp?authorid=163015&show_refs=1
Мареев Владимир Владимирович,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/301-mareev-vladimir-vladimirovich.html,Компьютерного моделирования и многопроцессорных систем,https://www.elibrary.ru/author_items.asp?authorid=12924&pubrole=100&show_refs=1&pubcat=risc
Марченко Ирина Владимировна,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/302-marchenko-irina-vladimirovna.html,Математической теории игр и статистических решений,https://www.elibrary.ru/author_items.asp?authorid=773874&pubrole=100&show_refs=1&pubcat=risc
"Матвеенко, Дмитрий Александрович",,Факультет прикладной математики-процессов управления,
Матросов Александр Васильевич,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/304-matrosov-aleksandr-vasilevich.html,Информационных систем,https://www.elibrary.ru/author_items.asp?authorid=192644&show_refs=1
Матюхин Александр Юрьевич,,Кафедра математического моделирования энергетических систем,
Мешков Игорь Николаевич,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/305-meshkov-igor-nikolaevich.html,Информационных и ядерных технологий,
"Минеев, Анатолий Борисович",,Кафедра теории систем управления электрофизической аппаратурой,https://www.elibrary.ru/author_items.asp?authorid=662451&pubrole=100&show_refs=1&pubcat=risc
Митрофанов Евгений Павлович,,Технологии программирования,https://www.elibrary.ru/author_items.asp?authorid=793723&pubrole=100&show_refs=1&pubcat=risc
Митрофанова Ольга Александровна,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/309-mitrofanova-olga-aleksandrovna.html,Технологии программирования,https://www.elibrary.ru/author_items.asp?authorid=793740&show_refs=1
Михеев Сергей Евгеньевич,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/311-mikheev-sergej-evgenevich.html,Математической теории микропроцессорных систем управления,https://www.elibrary.ru/author_items.asp?authorid=11175&show_refs=1
Мишенин Алексей Николаевич,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/312-mishenin-aleksej-nikolaevich.html,Технологии программирования,https://www.elibrary.ru/author_items.asp?authorid=898299&pubrole=100&show_refs=1&pubcat=risc
Молин Александр Евгеньевич,,Технологии программирования,
Морозов Пётр Дмитриевич,,Математической теории экономических решений,https://www.elibrary.ru/author_items.asp?authorid=1001622&pubrole=100&show_refs=1&pubcat=risc
Мышков Станислав Константинович,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/314-myshkov-stanislav-konstantinovich.html,Математической теории микропроцессорных систем управления,https://www.elibrary.ru/author_items.asp?authorid=9733&show_refs=1
Ндиайе Серинь Моду,,Математического моделирования энергетических систем,https://www.elibrary.ru/author_items.asp?authorid=1233917&pubrole=100&show_refs=1&pubcat=risc
"Непиющих, Дмитрий Викторович",,Кафедра технологии программирования,
Никифоров Константин Аркадьевич,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/315-nikiforov-konstantin-arkadevich.html,Моделирования электромеханических и компьютерных систем,https://www.elibrary.ru/author_items.asp?authorid=165997&show_refs=1
